"title","asin","brand","stars","reviewsCount","thumbnailImage","breadCrumbs","description","price","price/currency","price/value","url"
"QUIA Collagen Jelly Cream – Lightweight Gel Moisturizer for Glowing, Plump Skin – With Niacinamide and Peptides – Korean Skincare for Daily Hydration","B0F7ZCJGYQ","QUIA Beauty","4.4","344","https://m.media-amazon.com/images/I/31K-qWcna5L._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Creams & Moisturizers > Face Moisturizers",,,"$","29.99","https://www.amazon.com/dp/B0F7ZCJGYQ"
"Tatcha Kissu Lip Mask | Overnight Lip Mask, Visibly Plumps and Softens for Lush Lips, 9.0 G | 0.32 oz","B08D3FXF64","TATCHA","4.6","3871","https://m.media-amazon.com/images/I/315zH3j2u8L._SX342_SY445_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Lip Care > Balms & Moisturizers",,,"$","29","https://www.amazon.com/dp/B08D3FXF64"
"Dr.Melaxin Peel Shot Glow Rice Peeling Ampoule 80ml Daily Soft Exfoliating Face and Body Scrub Dead Skin Cells Blackhead Remover for All Skin Types korean skin care","B0DJP8GVG1","Dr.Melaxin","4.3","7007","https://m.media-amazon.com/images/I/31+UL+NQE0L._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Treatments & Masks > Facial Peels",,,"$","25","https://www.amazon.com/dp/B0DJP8GVG1"
"Glow Recipe Watermelon Glow Facial Spray + Hydrating Mist - Ultra-Fine Face Mist with Hyaluronic Acid + Hibiscus AHA to Refresh Dry Skin & Enhance Dewy Makeup - Suitable for All Skin Types (75ml)","B07PJ54S1Z","Glow Recipe","4.6","2128","https://m.media-amazon.com/images/I/31Uy0Ze9RXL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Creams & Moisturizers > Face Mists",,,"$","29","https://www.amazon.com/dp/B07PJ54S1Z"
"K18 Leave-In Molecular Hair Mask, Repairs Dry or Damaged Hair, Reverse Hair Damage from Bleach, Color, Chemical Services & Heat","B09HR5KSR8","K18","4.3","27063","https://m.media-amazon.com/images/I/51aIw6AhsXL._SX342_SY445_QL70_FMwebp_.jpg","Beauty & Personal Care > Hair Care > Hair Masks",,,"$","29","https://www.amazon.com/dp/B09HR5KSR8"
"Dr.Melaxin Peel Shot Glow Rice Peeling Ampoule 80ml Daily Soft Exfoliating Face and Body Scrub Dead Skin Cells Blackhead Remover for All Skin Types korean skin care","B0DJPB7H94","Dr.Melaxin","4.3","7007","https://m.media-amazon.com/images/I/41oadtrgS9L._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Treatments & Masks > Facial Peels",,,"$","25","https://www.amazon.com/dp/B0DJPB7H94"
"Glow Recipe Hue Drops Tinted Face Serum - Bronzing Drops to Brighten & Hydrate - Skincare Makeup Primer & Liquid Highlighter to Blur Pores for a Radiant, Even Skin Tone - Sunglow (40ml)","B0CWZYRC4G","Glow Recipe","4.6","738","https://m.media-amazon.com/images/I/315+pYzomZL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Treatments & Masks > Serums",,,"$","36","https://www.amazon.com/dp/B0CWZYRC4G"
"Tower 28 SOS Daily Rescue Facial Spray for Sensitive Skin, Hypochlorous Acid Spray Helps Reduce Redness and Breakouts, Full Size Toner for Face, 4 FL Oz","B0B3S7HJ9L","Tower 28","4.6","3997","https://m.media-amazon.com/images/I/31jR3UswgqL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Creams & Moisturizers > Face Mists",,,"$","28","https://www.amazon.com/dp/B0B3S7HJ9L"
"Sunglasses Headband by Zazzy Bandz (Made in USA): Thick Curly Hair Headband - Large Size Glasses Headband - The Viral Headband (Relaxed; Green, Pink, Purple Translucents)","B0C1JWC6TL","Zazzy Bandz","2.8","3","https://m.media-amazon.com/images/I/31xQBAmB10L._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Hair Care > Hair Accessories > Headbands",,,"$","33","https://www.amazon.com/dp/B0C1JWC6TL"
"OUAI Hair Gloss - In-Shower Shiny Hair Treatment & Glaze with Frizz Control - Heat Protectant Infused with Hyaluronic Acid, Rice Water & Panthenol - Paraben, Phthalate & Sulfate Free (6 Oz)","B0CT5S5WGN","OUAI","4.1","481","https://m.media-amazon.com/images/I/31lDMAYIdtL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Hair Care > Hair Coloring Products > Color Refreshers > Color Glazes",,,"$","34","https://www.amazon.com/dp/B0CT5S5WGN"
